CONTROLLER_ERROR_CODE,CONTROLLERTEMPERATUREPUMP,BATTERYCURRENTPUMP,MOTORTEMPERATUREREAR,BATTERYLOWESTCELLVOLTAGE,MOTORTORQUEFR,MOTORRPMPUMP,BATTERYARRAYCURRENT,BATTERYCURRENTFR,BATTERYCURRENTREAR,CONTROLLERTEMPERATUREFR,BATTERYPOWERPUMP,MOTORTORQUEREAR,MOTORPOWERPUMP,MOTORPOWERREAR,BATTERYPOWERFR,BATTERYARRAYVOLTAGE,BATTERYSYSTEMHIGHTEMPERATURE,MOTORTEMPERATUREFL,BATTERYHIGHESTCELLVOLTAGE,BATTERYSTATEOFCHARGE,MOTORPOWERFL,BATTERYPOWERFL,MOTORTORQUEFL,BATTERYSYSTEMLOWTEMPERATURE,MOTORTEMPERATUREPUMP,BATTERYCURRENTFL,MOTORRPMFR,MOTORTORQUEPUMP,MOTORTEMPERATUREFR,CONTROLLERTEMPERATUREREAR,MOTORPOWERFR,MOTORRPMFL,STEERANGLEPUMP,CONTROLLERTEMPERATUREFL
"56,66",9.1,85,4,3.839,-0.46,-2,-59,1.3,2.2,7.8,0.19,0.47,1.42,0,0,53.6,5.8,4.4,3.841,87,0,0,0.21,4,9,-0.5,455,1.95,10.6,4.5,0,14,0,7.9
"56,64,65,66",15.6,0,13.4,3.924,0,-7,0,0,0,16.8,0,0,0,0,0,55.1,13.2,13.4,3.941,86,0,0,0,11.9,12,0,0,0,17.5,14.4,0,0,4,17.4
"56,64,65,66",15.7,0,13.4,3.924,0,0,0,0,0,17,0,0,0,0,0,55.1,13.2,13.4,3.941,86,0,0,0,12,12,0,-3,0,17.5,14.7,0,0,3,17.5
"56,64,65,66",16.1,0,13.4,3.924,0,0,0,0,0,17.4,0,0,0,0,0,55.1,13.3,13.4,3.94,86,0,0,0,12,12,0,3,0,17.5,15,0,0,4,18.1
55,16.6,0,13.4,3.924,0,-7,0,0,0,17.8,0,0,0,0,0,55.1,13.4,13.4,3.94,86,0,0,0,12,12,0,0,0,17.5,15.3,0,-1,4,18.6
"52,55",16.6,0,13.4,3.924,0,0,0,0,0,17.8,0,0,0,0,0,55.1,13.4,13.4,3.94,86,0,0,0,12,12,0,0,0,17.5,15.3,0,1,4,18.6
52,16.6,0,13.4,3.923,0,3,0,0,0,17.8,0,0,0,0,0,55.1,13.4,13.4,3.94,86,0,0,0,12,12,0,0,0,17.5,15.3,0,1,3,18.6
52,16.8,0,13.4,3.924,0,3,0,0,0,18,0,0,0,0,0,55.1,13.5,13.4,3.94,86,0,0,0,12,12,0,0,0,17.5,15.5,0,0,3,18.9
59,17,0,13.4,3.923,0,-6,0,0,0,18.2,0,0,0,0,0,55.1,13.5,13.4,3.94,86,0,0,0,12.1,12,0,0,0,17.5,15.7,0,0,4,19.1
"56,59,66",17,0,13.4,3.923,0,3,0,0,0,18.2,0,0,0,0,0,55.1,13.5,13.4,3.939,86,0,0,0,12.1,12,0,0,0,17.5,15.7,0,0,4,19.1
"56,59,66",17,0,13.4,3.923,0,-3,0,0,0,18.3,0,0,0,0,0,55.1,13.5,13.4,3.939,86,0,0,0,12.1,12,0,0,0,17.5,15.7,0,0,3,19.1
"53,56,66",17,0,13.4,3.923,0,-6,0,0,0,18.3,0,0,0,0,0,55.1,13.5,13.4,3.939,86,0,0,0,12.1,12,0,0,0,17.5,15.7,0,-5,3,19.1
"56,62,66",17.2,0,13.4,3.923,0,-3,0,0,0,18.5,0,0,0,0,0,55,13.6,13.4,3.939,86,0,0,0,12.1,12,0,0,0,17.5,16,0,0,3,19.4
"56,62,66",17.2,0,13.4,3.923,0,3,0,0,0,18.5,0,0,0,0,0,55,13.6,13.4,3.939,86,0,0,0,12.1,12,0,0,0,17.5,16,0,0,4,19.4
"54,56,62,66",17.2,0,13.4,3.922,0,3,0,0,0,18.5,0,0,0,0,0,55,13.6,13.4,3.939,86,0,0,0,12.1,12,0,-2,0,17.5,16,0,0,4,19.4
"54,56,66",17.2,0,13.4,3.923,0,3,0,0,0,18.5,0,0,0,0,0,55,13.6,13.4,3.938,86,0,0,0,12.1,12,0,-2,0,17.5,16,0,0,4,19.4
"51,56",31.1,21.5,0,3.262,-0.17,0,0,-24.4,-18.1,24.6,0.06,-0.01,0.85,0,0,0.1,15,0,3.269,89,0,0,-0.15,15,0,0.4,188,0,0,20,0,110,-2,25.8
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,19.1,0,21.7,3.308,0,-7,-1,0,0,18.7,0,0,0,0,0,53.1,17,14.3,3.317,81,0,0,0,16,16.2,0,2,0,16.2,16.6,0,0,-2,19.5
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23,24,51",28.3,5.5,31.3,3.202,-0.52,0,0,74.9,63.2,17,0.04,-1.48,0.44,3.12,0.3,51.4,17,0,3.217,51,0.32,-0.01,-0.79,16,0,10.7,1530,1.23,0,13.4,-0.16,2902,-6,19.4
"51,56",24.2,5.6,17.1,3.287,-0.05,0,-25,-7.7,-22.7,21.1,0.03,0.15,0.63,-0.49,0,52.4,14,0,3.295,94,0.16,0.04,-0.32,13,0,1.5,520,1.64,0,17.8,0.38,840,0,21.4
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9.6,0,6.5,3.338,0,0,-1,0,0,10.7,0,0,0,0,0,53.5,10,2.4,3.347,77,0,0,0,9,3.7,0,0,0,3.5,8.4,0,0,6,10.7
58,12.8,0,9.4,3.343,0,-6,-1,0,0,13.3,0,0,0,0,0,53.6,11,4.6,3.351,79,0,0,0,10,7.9,0,0,0,6.5,11.1,0,0,-1,13.5
58,12.9,0,9.3,3.344,0,-3,-1,0,0,13.5,0,0,0,0,0,53.6,11,4.1,3.353,79,0,0,0,11,7.9,0,0,0,6.5,11.2,0,0,-1,13.7
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56,64,65,66",34.5,0,14.3,3.312,0,0,-2,0,0,26.5,0,0,0,0,0,53.1,20,11.5,3.32,74,0,0,0,19,50.6,0,-175,0,13.1,21.1,0,31,3,30.4
"64,66",34.5,0,14.3,3.315,0,0,5,0,0,26.5,0,0,0,0,0,53.2,20,0,3.323,75,0,0,0,19,0,0,-13,0,0,21.1,0,809,3,30.4
"56,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56,66",32.3,0,14.6,3.312,0,0,0,0,0,26.3,0,0,0,0,0,53.1,20,12.1,3.32,74,0,0,0,19,47.6,0,0,0,14.2,21.4,0,-1,3,29.6
"56,66",31.9,0,14.2,3.313,0,0,0,0,0,26.3,0,0,0,0,0,53.1,20,12.1,3.321,75,0,0,0,19,46.5,0,0,0,14.5,21.4,0,0,3,29.4
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,16.4,0,14.7,3.384,0,0,-2,0,0,16.5,0,0,0,0,0,54.3,16,10.6,3.398,100,0,0,0,15,11.9,0,0,0,12.1,15,0,0,3,16.7
58,28,0,20.3,4.129,0,0,0,0,0,29,0,0,0,0,0,57.9,16,25.8,4.142,100,0,0,0,12.1,10.1,0,0,0,24.4,28,0,-1,0,15.9
58,,0,,,,0,,,0,,0,0,0,0,,,,,,,,,,,,,,0,,3.4,,,-17,
58,,0,-1.7,,,-3,,,0,,0,0,0,0,,,,,,,,,,,,,,0,,3.4,,,-17,
58,3,0,-5.8,,,0,,,0,,0,0,0,0,,,,,,,,,,,-1.6,,,0,,4.7,,,-17,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4,0,-4.5,,,0,,,0,,0,0,0,0,,,,,,,,,,,-0.4,,,0,,5,,,-17,
58,4,0,-5.7,,,0,,,0,,0,0,0,0,,,,,,,,,,,-0.4,,,0,,5,,,-17,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.5,0,-4.4,,,0,,,0,,0,0,0,0,,,,,,,,,,,-1.9,,,0,,4.5,,,-16,
58,3,0,-4.1,,,-3,,,0,,0,0,0,0,,,,,,,,,,,-1.8,,,0,,4,,,-16,
58,3.3,0,-1.9,,,0,,,0,,0,0,0,0,,,,,,,,,,,-1.8,,,0,,4.1,,,-16,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.3,0,-2,,,0,,,0,,0,0,0,0,,,,,,,,,,,-1.8,,,0,,4.3,,,-16,
58,3.5,0,-2,,,0,,,0,,0,0,0,0,,,,,,,,,,,-1.8,,,0,,4.3,,,-16,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3.7,0,-3.1,,,0,,,0,,0,0,0,0,,,,,,,,,,,-1.8,,,0,,4.5,,,-16,
